003899 0=C1N=CON=N1
020692 CC1=NC(=0)N=N01
021567 NC1=CC(=0)N=N01
021611 NC1=NC(=N)N=N01
021620 NC1=NC(=0)N=N01
021748 01C=NC2=C10N=N2
021764 01N=NC2=C10N=N2
021859 0C1=CC(=0)N=N01
021870 0C1=NC(=N)N=N01
021875 0C1=NC(=0)N=N01
023793 FC1=CC(=N)N=N01
023799 FC1=CC(=0)N=N01
023822 FC1=NC(=N)N=N01
023828 FC1=NC(=0)N=N01
037079 C1C2=CC3C=C1C1C2N31
037080 C1C2=CC3C=C1C1C3C21
037082 N1C2=CC3N=C1C1C3C21
038196 C1C2CC11C=СCЗC1N23
125055 CC1=C(N)ON=NC1=0
125471 CC1=NC2=C(ON=N2)01
125793 CC1=NOC2=C1N=N02
126360 CC1=NC(=0)N=N01
127356 CN1C=NC2=C10N=N2
127778 CN1N=NC2=C10N=N2
127894 CN=C1N=NOC(N)=N1
127895 CN=C1N=NOC(O)=N1
128195 CNC1=CC(=0)N=N01
128252 CNC1=NC(=N)N=N01
128260 CNC1=NC(=0)N=N01
128558 COC1=CC(=N)N=N01
128568 COC1=CC(=0)N=N01
128619 COC1=NC(=N)N=N01
128627 COC1=NC(=0)N=N01
129106 N=C1CC2=C(N1)ON=N2
129137 N=C1N=CON=NC1=0
129146 N=C1N=NOC(=N1)C#N
129654 NC1=C(N)C(=0)N=N01
130009 NC1=NC2=C(ON=N2)01
130424 NCC1=NC(=0)N=N01
130603 0=C1C=CON=NC1=0
130630 0=C1CC2=C(N1)ON=N2
130662 0=C1N=CON=NC1=0
130664 O=C1N=NOC(=N1)C#C
130665 0=C1N=N0C(=N1)C#N
130667 0=C1N=NOC=C1C#N
130879 0=CC1=CON=NC1=0
130883 0=CC1=NC(=0)N=N01
131555 OC1COC2=C1N=N02
131696 OCC1=NC(=N)N=N01
131705 OCC1=NC(=0)N=N01
133168 CC1=C(F)ON=NC1=0
133263 CN=C1C=C(F)ON=N1
133274 CN=C1N=NOC(F)=N1
133311 NC1=C(F)C(=0)N=N01
133403 OC1=C(F)C(=0)N=N01
133404 FC1=C(F)C(=0)N=N01
133828 CC12C3C1C1=CC2CC31
133829 CC12C3C1C1=CC2OC31
133840 CC12C3C1C1=ССЗCC21
133843 CC12C3N1C1CC2C3=C1
133844 0C12C3C1C1=ССЗCC21
133846 CC12C3C1C1CC3C2=C1
133847 CC12C3C1C10C3C2=C1
133849 CC12C3C4CC(C=C14)N23
133851 0C12C3C1C1CC3C2=C1
133852 0C12C3C1C10C3C2=C1
